law,weights,replicate,ess,max_weight,D4,moment_error,success,condition,I1,I2,I3,I4
unimodal,pareto,29,123.2137556291153,0.04454333174850115,1.1411291121072389,1.8934853684982045e-12,True,1697.0845494057858,1.1299138710929988,0.006559964287967457,0.003473952275238723,0.001181324451033916
unimodal,equal,30,400.00000000000006,0.0025,1.0577675043792412,1.2740919430598296e-11,True,898.8941484498953,1.0524464998016656,0.0029730356032211525,0.002192235719913338,0.00015573325444107056
unimodal,pareto,30,62.49449319126881,0.09138003733486319,0.9364205507505794,4.116995633296483e-11,True,17999.522194330817,0.865950724473481,0.028361424009425207,0.012836094110638019,0.029272308157035187
unimodal,equal,31,400.00000000000006,0.0025,1.0202734211232642,1.1313172620930345e-12,True,1399.642019265222,1.016353404601038,0.001803234740887838,0.0009363369896240314,0.001180444791714308
unimodal,pareto,31,2.8463340760795197,0.5917419906142106,1.7178636954955584,7.108313937465027e-12,True,13522.2427925074,1.4675133231987312,0.06871375814039382,0.12570772944772468,0.055928884708708715
unimodal,equal,32,400.00000000000006,0.0025,1.0032992974822887,3.7636560534792807e-14,True,7207.008809769137,1.000877559282502,0.0005244667707189343,0.0012633367118053407,0.0006339347172623633
unimodal,pareto,32,28.125139022449,0.14999057628623147,1.0464453289368398,4.574118861455645e-13,True,17379.744805556205,0.9773981097787923,0.012437382350450221,0.038942242155079576,0.01766759465251777
unimodal,equal,33,400.00000000000006,0.0025,1.0675071342430478,5.267786207241443e-12,True,2151.9426990118013,1.0651284857539047,5.3878963039100114e-05,0.002051864491558142,0.0002729050345458006
unimodal,pareto,33,123.34634670412677,0.040264691448850386,1.1117503615855737,1.4651624358208437e-10,True,2042.5077831864398,1.1044631974529704,0.006626476188369423,0.0002764479177095325,0.00038424002652437395
unimodal,equal,34,400.00000000000006,0.0025,1.0567261714676999,1.0308731646091474e-10,True,304.3433159935226,1.048543154391759,0.005562844222248398,0.0008720439185894158,0.0017481289351031215
unimodal,pareto,34,149.832268062031,0.035519914421954034,1.06123424372313,6.338263247585019e-12,True,877.2166169481842,1.0574244398881603,0.0021990248203200835,0.0009759210068902568,0.0006348580077593091
unimodal,equal,35,400.00000000000006,0.0025,1.0586429405173998,3.930078484870592e-12,True,17526.232690399193,1.0555842243860396,5.266882346210977e-05,0.0008008469592342138,0.002205200348663894
unimodal,pareto,35,50.77934077497972,0.10504635035324301,1.124258699762433,4.674038933671909e-14,True,12411.041873421367,1.1163823172834109,0.003623873604796657,0.0038936077818938486,0.0003589010923317204
unimodal,equal,36,400.00000000000006,0.0025,1.1102697648523456,1.024598184073966e-10,True,114624.97222456412,1.0995893165763002,0.0008949734781826812,0.003813668126423142,0.0059718066714395945
unimodal,pareto,36,196.95909697494915,0.018129220457581228,1.1252564833463339,1.095323831634687e-11,True,198501.62928548086,1.1116248171824132,0.0011674306914444266,0.005271066086054876,0.007193169386421339
unimodal,equal,37,400.00000000000006,0.0025,1.0156694479273698,2.5146551507759796e-12,True,880.1891965102009,1.0125966447112011,0.0009064481704617044,0.001920597984859107,0.0002457570608478399
unimodal,pareto,37,31.639674057131664,0.1522330869661298,0.9822889668788877,1.0049083787322388e-10,True,10452.29768965039,0.936507494949018,0.0102475888393454,0.011752329946423057,0.023781553144101242
unimodal,equal,38,400.00000000000006,0.0025,1.0899775999552341,3.186340080674199e-14,True,273.99691068954013,1.0809005862468037,0.006424091515272234,0.0023521215488444547,0.00030080064431370346
unimodal,pareto,38,43.36856538609521,0.1046131933545601,1.1506353557091962,2.1248780512905796e-11,True,1794.3590775099938,1.130112449062958,0.0009549074490813325,0.011326692001722982,0.008241307195433922
unimodal,equal,39,400.00000000000006,0.0025,1.060113405177912,2.333688797762079e-13,True,1021298.2672518159,1.04970704274622,0.005813369805059754,0.0011123256932439318,0.003480666933388221
unimodal,pareto,39,127.84159836582775,0.03996743818568535,1.0571251645894648,3.6484149035231894e-12,True,2095827.5353650318,1.0135669953409057,0.00756630236916056,0.005701078098067747,0.030290788781330846
unimodal,equal,40,400.00000000000006,0.0025,0.9802321238523479,9.969802761133906e-14,True,8013.229071137215,0.9751178784115218,0.0008511938479474068,0.001871606253497582,0.002391445339381182
unimodal,pareto,40,66.25500266060999,0.0781237866517944,1.0348991964212972,1.7119639039719914e-13,True,9599.210783169287,0.9971167321908094,0.007330414548762043,0.01450302737892839,0.015949022302797378
unimodal,equal,41,400.00000000000006,0.0025,1.0011366707655722,5.864198016070077e-13,True,1006.7588477824268,0.99264876112926,0.0010315727914305128,0.0015443613508785425,0.00591197549400313
unimodal,pareto,41,146.90609931111965,0.048200229769503194,1.0591271228920247,2.425393219596117e-12,True,1544.7902669796515,1.0151183605426701,0.012002122566507012,0.010505117486215187,0.02150152229663238
unimodal,equal,42,400.00000000000006,0.0025,1.0003532743527286,2.658551156997646e-11,True,29101.444678497748,0.9936878659743162,0.0003027453850004136,0.0027372464611654657,0.0036254165322464615
unimodal,pareto,42,100.98345229888724,0.06337189693023183,0.9515839775879114,1.09007247672821e-10,True,30257.379272123584,0.9381122361208329,0.0028754136307389544,0.004869611909174676,0.005726715927164783
unimodal,equal,43,400.00000000000006,0.0025,1.0381929662112555,2.460831538542152e-11,True,123157.65106074145,1.0333685704459112,0.0007563787934778965,0.0020738698377225084,0.001994147134143809
unimodal,pareto,43,170.43719626109927,0.030489944539631653,1.0853021225400123,2.3019364192577996e-12,True,248297.44553964635,1.0796230709782,0.0009791956461446816,0.001434386984844771,0.0032654689308229123
unimodal,equal,44,400.00000000000006,0.0025,1.0949825075738437,3.8913317013111737e-13,True,680.8340878244604,1.0694643806508788,0.011403960018590453,0.0043762112995993085,0.009737955604775195
unimodal,pareto,44,163.39582489046552,0.04134902246652648,1.1138269548104933,1.5033674305442446e-10,True,1891.9336388858087,1.0656717981127954,0.019512355716947205,0.022636486421935054,0.0060063145588156175
unimodal,equal,45,400.00000000000006,0.0025,1.0594246018922808,1.2713163854982668e-12,True,27719.31885983299,1.054244038724268,0.00011461191195705211,0.0034921482261904835,0.0015738030298653172
unimodal,pareto,45,149.98438775467935,0.03207055443908767,1.1229614549370233,1.1269984945272427e-11,True,60972.858281664034,1.1172950802338555,0.00023237378892071447,0.005371406473690055,6.259444055700669e-05
unimodal,equal,46,400.00000000000006,0.0025,1.0555448342165468,1.006750238730092e-12,True,21547.815413232336,1.048037710530219,0.0021600097869987067,0.004480253356168529,0.0008668605431605414
unimodal,pareto,46,176.57712997267944,0.02540597277331255,1.0554284783903123,4.6775028295087395e-11,True,74152.43817937796,1.042636120874902,0.004941627900123535,0.007322779726835371,0.0005279498884513956
unimodal,equal,47,400.00000000000006,0.0025,1.0236802153893563,3.505407075721223e-11,True,712.0093828163346,1.0145359119037836,0.000778014589092102,0.0017233221486128159,0.006642966747867796
