replicate,seed,I1,p1,valid1,I2,p2,valid2,I3,p3,valid3,I4,p4,valid4,tail,p_tail,valid_tail,holm_I1,holm_I2,holm_I3,holm_I4,holm_tail,would_stop_at_first
177,919440,1.8845754427842524e-05,0.9850088010287641,True,0.003709902040317015,0.057123060482639376,True,0.0011273774426396157,0.40558610848072596,True,0.17360293464725834,4.218528755466875e-62,True,0.1784402141302152,6.1031431187061336e-05,True,0.9850088010287641,0.17136918144791813,0.8111722169614519,2.1092643777334374e-61,0.00024412572474824534,True
178,919441,0.002714809459377393,0.11329974047858044,True,0.0003703861850298286,0.730954887330328,True,0.007127429641114021,0.0032068220985997133,True,0.13221541058364703,3.281686625252428e-46,True,0.1397132264097917,6.1031431187061336e-05,True,0.22659948095716087,0.730954887330328,0.00962046629579914,1.6408433126262138e-45,0.00024412572474824534,True
179,919442,0.00020745045396705104,0.8470137261516444,True,0.000572643735809788,0.6094523954032742,True,8.5142597821386e-05,0.9341094472012406,True,0.1990802732670206,4.476383467979558e-75,True,0.19973805960065052,6.1031431187061336e-05,True,1.0,1.0,1.0,2.2381917339897793e-74,0.00024412572474824534,True
180,919443,1.759529282187328e-05,0.98601848653317,True,0.0005287667342324556,0.6333740031549326,True,0.0024284555861279747,0.14269163215339514,True,0.19206978962407611,1.282478099666511e-70,True,0.19502701194443714,6.1031431187061336e-05,True,1.0,1.0,0.42807489646018543,6.412390498332555e-70,0.00024412572474824534,True
181,919444,0.0022862350746002385,0.15986569844893617,True,0.003095899868854512,0.08734452230391389,True,0.00024377578821088534,0.8228790348856234,True,0.14815796787783864,8.810076881446962e-54,True,0.15149764353490375,6.1031431187061336e-05,True,0.31973139689787233,0.2620335669117417,0.8228790348856234,4.405038440723481e-53,0.00024412572474824534,True
182,919445,0.00039995973356656803,0.7260154987398306,True,0.0006469836020656183,0.5790327563828426,True,0.000221679182327818,0.8372803597048946,True,0.14477551068541014,6.337947443557214e-50,True,0.1456441734698047,6.1031431187061336e-05,True,1.0,1.0,1.0,3.168973721778607e-49,0.00024412572474824534,True
183,919446,0.0002548218073325472,0.8154847276402457,True,0.0006831171882249282,0.5595720549153218,True,0.0006980473078782366,0.571822944602445,True,0.16572411288269698,7.431385730241934e-63,True,0.16710527737880065,6.1031431187061336e-05,True,1.0,1.0,1.0,3.715692865120967e-62,0.00024412572474824534,True
184,919447,0.0006034305359891128,0.6168617851989611,True,0.0004177924285287235,0.6985881843921293,True,0.0020145153134814376,0.19894474087612607,True,0.16598201104750435,1.1192654876664575e-59,True,0.16841431878951418,6.1031431187061336e-05,True,1.0,1.0,0.5968342226283783,5.596327438332288e-59,0.00024412572474824534,True
185,919448,0.00036298153805581937,0.7478156026001619,True,0.0008815948445215968,0.4754298160951821,True,0.0003104490795644817,0.7800721662565844,True,0.16432296825043072,8.12199534823994e-60,True,0.16551501217451797,6.1031431187061336e-05,True,1.0,1.0,1.0,4.0609976741199705e-59,0.00024412572474824534,True
186,919449,0.002395632461896044,0.14644384818644418,True,0.0002369581160066277,0.8135310742757373,True,0.00068780298940317,0.5765844807935312,True,0.18084515335463483,9.671046557740305e-64,True,0.1817699144600442,6.1031431187061336e-05,True,0.43933154455933254,1.0,1.0,4.8355232788701525e-63,0.00024412572474824534,True
