cell,replicate,seed,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,reference_refinement,scaled_rotation,analytic_p
circle_cos4_direct_n200,607,2026292208,True,ok,0.002705726329799523,0.008052168709997306,0.0046740456591629325,1.0817710225972061,1.4746372785764776,0.5665067214189641,0.5666582911864133,0.4783949467149856,0.5820812326677411,0.5820812326677411,200.0,200.0,0.005,5.828670879282072e-16,1.2527621667115527,6,7.806255641895632e-18,3.469446951953614e-18,1.3322676295501878e-15,0.00025975466130157,0.6463515271389653,1.3491022326822266,0.32057334885820266,2.7755575615628914e-17,0.0010049163829535246,not_checked,0.001,not_checked,not_checked,,,,0.5626845527418699
circle_cos4_direct_n200,608,2026292209,True,ok,0.0105656632481668,0.000813796131028886,0.008911781025355598,4.214962113136022,6.536006957208207,0.12083488032711609,0.1214545405996966,0.0380823835191134,0.1208587646255947,0.1208587646255947,200.0,200.0,0.005,5.7384999530007974e-12,1.251584554864807,5,3.656797087359109e-15,-5.204170427930421e-18,-2.6645352591003757e-15,0.005651593065349125,0.5608792299221773,1.4179379808115242,0.2802114012774707,3.2870147576025133e-13,0.0008850002195686102,not_checked,0.001,not_checked,not_checked,,,,0.1228149097399455
circle_cos4_direct_n200,609,2026292210,True,ok,0.0006495811989951052,0.0002857383151939006,0.002895486183265385,0.25979083068823444,0.21589527942577766,0.8694633922714021,0.8694827750749579,0.8976745976995921,0.8781689834506783,0.8781689834506783,200.0,200.0,0.005,6.772808008870257e-11,1.0695530250980965,4,-1.494919964727115e-12,1.0842021724855044e-19,0.0,2.0824454903811684e-05,0.6172871138718933,1.3814227980259295,0.30855536608756584,3.142013125373433e-12,0.0007779160514473915,not_checked,0.001,not_checked,not_checked,,,,0.8686272519093838
circle_cos4_direct_n200,610,2026292211,True,ok,0.0010167576781022246,0.001717519803580805,0.00355412906694893,0.4066072199740919,0.40233355235487867,0.7955197079093659,0.7955619019777694,0.8177760346192406,0.8159913409783726,0.8159913409783726,200.0,200.0,0.005,7.827943848681684e-11,1.1253725390208544,5,2.3852447794681098e-18,1.3010426069826053e-18,1.6653345369377348e-16,4.7925633398976375e-05,0.5159488014759638,1.4820944040928477,0.25753135205978106,6.516341719692287e-12,0.0008920421823859215,not_checked,0.001,not_checked,not_checked,,,,0.8027946618278741
circle_cos4_direct_n200,611,2026292212,True,ok,0.0019262081749742872,0.008362831298895729,0.0035155488915512194,0.7700608746938031,1.2207941853415,0.6637275546134147,0.66387430518616,0.543135151259561,0.6802862353819035,0.6802862353819035,200.0,200.0,0.005,1.8041124150158794e-16,1.2686035649642857,6,1.734723475976807e-18,-1.3010426069826053e-18,-6.661338147750939e-16,0.00021119764795585194,0.6225066699641889,1.3733953028914936,0.30865090809013035,6.938893903907228e-18,0.0010051671415567398,not_checked,0.001,not_checked,not_checked,,,,0.6620241772957924
circle_cos4_direct_n200,612,2026292213,True,ok,0.007261284282248086,0.010774928241600264,0.010185335141265824,2.9004766193057034,2.0495379612165574,0.2245454291859093,0.2249770824829883,0.35887936392235514,0.2340414935573515,0.2340414935573515,200.0,200.0,0.005,1.1601830607332886e-14,1.331808097839925,6,1.0668549377257364e-15,-3.469446951953614e-18,-1.3322676295501878e-15,0.002018546796765497,0.5605619198636433,1.4267935520665733,0.277262284644803,1.3600232051658168e-15,0.001006790902465582,not_checked,0.001,not_checked,not_checked,,,,0.22751079475145847
circle_cos4_direct_n200,613,2026292214,True,ok,0.007208629263968201,0.0016667626604334102,0.008053157658084125,2.8784308194549344,4.096283557447194,0.2255844398793462,0.2261183407081595,0.12897434392233012,0.2365192088977105,0.2365192088977105,200.0,200.0,0.005,6.768990229444327e-11,1.2176187504737466,5,-3.5041414214731503e-16,1.734723475976807e-18,4.440892098500626e-16,0.002510443066172874,0.5244215450681655,1.4614563634698408,0.2617737416352465,5.779830173496814e-12,0.0008940000552684069,not_checked,0.001,not_checked,not_checked,,,,0.2298138697788279
circle_cos4_direct_n200,614,2026292215,True,ok,0.007044301406322222,0.00013558915486651223,0.009856026491839467,2.8127695915819952,2.1576740030683466,0.23387879299167874,0.23443326168324297,0.33999070447190843,0.2444216964536971,0.2444216964536971,200.0,200.0,0.005,1.0783041126671833e-14,1.186113896403344,5,-4.683753385137379e-17,1.214306433183765e-17,5.329070518200751e-15,0.0024754854734467813,0.5624534607969678,1.4235032682375994,0.2811885993035349,2.5175174445113413e-16,0.0008924179710447788,not_checked,0.001,not_checked,not_checked,,,,0.23716522331068024
circle_cos4_direct_n200,615,2026292216,True,ok,0.008285670670899987,0.005375006463002277,0.010389303807936592,3.307459636485065,2.664822660080919,0.1853685826896057,0.18597545198483767,0.26384028762015854,0.19068467447558024,0.19068467447558024,200.0,200.0,0.005,4.461708780212348e-14,1.3018505857596583,6,3.2040342601291627e-15,1.214306433183765e-17,4.440892098500626e-15,0.003404315937465041,0.6340554802422645,1.3495587447508146,0.31532347571713726,7.532169332691296e-15,0.0010070831049233675,not_checked,0.001,not_checked,not_checked,,,,0.18733129711259983
circle_cos4_direct_n200,616,2026292217,True,ok,0.002149897872603181,0.0024202306679604784,0.004889250544089583,0.8595395145471585,0.8934661775109906,0.6330637073919821,0.6332023547967056,0.6397146325183705,0.6505223818191039,0.6505223818191039,200.0,200.0,0.005,8.291978215169138e-16,1.161337636014694,6,1.7780915628762273e-17,-8.673617379884035e-19,-5.551115123125783e-16,0.000209817247056987,0.6187439408760139,1.3771672459795217,0.3086231847498761,2.42861286636753e-17,0.0010013759601861238,not_checked,0.001,not_checked,not_checked,,,,0.6316903629908917
